108.8441,107.1766,110.5116,1.8114
110.4048,108.3775,112.4321,1.9932
112.1221,109.699,114.5453,2.1932
114.3082,111.8835,116.7328,2.4132
116.7375,114.3462,119.1288,2.6553
119.074,116.6192,121.5289,2.9217
121.5862,119.0439,124.1284,3.2148
124.1737,121.4376,126.9098,3.5373
126.9703,123.9931,129.9476,3.8922
129.8441,127.7563,131.9319,4.2827
132.9207,130.7763,135.0652,4.7124
136.1103,133.8372,138.3833,5.1851
139.5057,137.0526,141.9588,5.7053
142.8961,140.4528,145.3395,6.2777
146.3549,144.086,148.6238,6.9076
149.355,147.2718,151.4382,7.6006
151.8112,149.9257,153.6966,8.3631
154.0315,152.2765,155.7864,9.2021
155.8,154.0667,157.5332,10.1254
157.5409,155.7456,159.3361,11.1412
159.0692,157.0438,161.0946,12.259
160.6451,158.3498,162.9405,13.4888
162.1017,159.4656,164.7378,14.8421
163.678,160.6575,166.6985,16.3312
165.3107,161.8313,168.7901,17.9696
167.0682,163.1029,171.0335,19.7724
168.7562,164.3759,173.1364,21.7561
170.5455,165.7747,175.3163,23.9388
171.5859,166.2859,176.8859,26.3405
172.7307,166.9487,178.5126,28.9832
